iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,other_information_summary_of_key_solid_waste_information_made_available_to_the_public,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_collection_coverage_rural_percent_of_geographic_area,waste_collection_coverage_rural_percent_of_households,waste_collection_coverage_rural_percent_of_population,waste_collection_coverage_rural_percent_of_waste,waste_collection_coverage_total_percent_of_geographic_area,waste_collection_coverage_total_percent_of_households,waste_collection_coverage_total_percent_of_population,waste_collection_coverage_total_percent_of_waste,waste_collection_coverage_urban_percent_of_geographic_area,waste_collection_coverage_urban_percent_of_households,waste_collection_coverage_urban_percent_of_population,waste_collection_coverage_urban_percent_of_waste,waste_treatment_anaerobic_digestion_percent,waste_treatment_compost_percent,waste_treatment_controlled_landfill_percent,waste_treatment_incineration_percent,waste_treatment_landfill_unspecified_percent,waste_treatment_open_dump_percent,waste_treatment_other_percent,waste_treatment_recycling_percent,waste_treatment_sanitary_landfill_landfill_gas_system_percent,waste_treatment_unaccounted_for_percent,waste_treatment_waterways_marine_percent,where_where_is_this_data_measured
DOM,LCN,Dominican Republic,UMC,15328,51,6,3,10,16,10,,4,,No,Yes,No,No,NA,10528394,0,0,57000,0,0,0,4063910,NA,NA,NA,NA,NA,74.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5758314,NA,8.2,0.1,19.1241686,NA,Other
DZA,MEA,Algeria,UMC,11826,54,1,3,1,10,17,13,2,,Yes,Yes,Yes,NA,Yes,40606052,0,11000000,252000,330000,2547000,30000,12378740,NA,NA,87.5,NA,NA,NA,NA,NA,NA,NA,87.5,NA,NA,1,2,NA,NA,NA,NA,8,89,NA,NA,Disposal Site
ECU,LCN,Ecuador,UMC,11896,59,3,2,14,10,11,0,1,,Yes,Yes,No,Yes,Yes,16144368,0,0,73000,193812,0,11292,5297211,NA,63.4,NA,NA,NA,88.4,NA,NA,NA,99.3,NA,NA,NA,NA,NA,NA,NA,22.28,NA,12.9,53.22,11.6,NA,NA
EGY,MEA,"Egypt, Arab Rep.",LMC,10301,56,4,2,15,10,13,,,,Yes,Yes,No,Yes,NA,87813256,30000000,4000000,497000,380000,6000000,28300,21000000,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,57.5,NA,NA,7,NA,NA,7,84,NA,12.5,NA,NA,NA,Disposal Site
ERI,SSF,Eritrea,LIC,1715,,,,,,,,,,NA,NA,NA,NA,NA,4474690,0,0,3800,0,0,0,726957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,ECS,Spain,HIC,40986,49,8,3,14,15,9,,2,,No,Yes,Yes,Yes,Yes,47076780,8058640,52155411,1202597,2984518,0,2990346,22408548,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,16.45,NA,11.62,55.09,NA,NA,16.84,NA,NA,NA,NA
EST,ECS,Estonia,HIC,36956,37,8,3,16,18,19,,0,,Yes,Yes,Yes,No,Yes,1326590,149633,18094986,34312,10410321,0,1750157,489512,NA,NA,NA,NA,NA,NA,NA,86.89,NA,NA,NA,NA,NA,3.6,7.4,51.37,NA,NA,NA,24.74,NA,12.89,NA,NA
ETH,SSF,Ethiopia,LIC,1779,88,1,1,4,4,2,,,,NA,Yes,Yes,NA,NA,99873032,0,0,49000,0,0,0,6532787,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,57,NA,NA
FIN,ECS,Finland,HIC,48814,36,9,2,13,38,1,,1,,Yes,Yes,Yes,Yes,Yes,5520314,1079091,84662998,212954,1998693,0,1006713,3124498,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,12.45,NA,47.92,11.5,NA,NA,28.12,NA,0.01,NA,NA
FJI,EAS,Fiji,UMC,10788,33,4,2,4,13,8,0,,37,NA,Yes,Yes,Yes,NA,867086,0,0,4600,0,0,316,189390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,5.45,NA,42.55,NA,Household waste collected
FRA,ECS,France,HIC,46110,32,10,3,26,20,9,,,,NA,Yes,Yes,Yes,NA,67059888,11304163,236301207,2218682,10783405,0,4867183,36748820,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,17.26,NA,34.7,25.76,NA,NA,22.26,NA,0.02,NA,NA
